crop_category,crop,soil_type,N_level,P_level,K_level,temperature,humidity,ph,rainfall,fertilizer
fruits,watermelon,loamy soil,medium,high,high,25,82,7.5,246,Compost
fruits,watermelon,loamy soil,high,low,medium,22,90,5.5,208,NPK
fruits,watermelon,loamy soil,low,high,high,21,60,6.8,189,DAP
fruits,coconut,sandy loam,medium,medium,high,22,73,5.5,106,NPK
fruits,coconut,sandy loam,medium,high,medium,30,77,7.0,133,DAP
fruits,coconut,sandy loam,high,low,medium,30,82,7.4,106,DAP
fruits,coconut,sandy loam,low,high,high,32,78,7.1,169,Compost
fruits,coconut,sandy loam,high,high,medium,24,65,6.0,202,NPK
fruits,coconut,sandy loam,high,medium,low,34,63,5.7,212,Ammonium Sulfate
fruits,coconut,sandy loam,high,high,medium,27,78,7.0,218,MOP
fruits,coconut,sandy loam,medium,medium,low,29,62,6.0,249,Urea
oilseeds,,unknown,medium,high,medium,30,89,5.8,224,NPK
oilseeds,,unknown,high,high,low,35,51,6.0,189,MOP
oilseeds,,unknown,medium,medium,high,21,67,7.1,236,Ammonium Sulfate
oilseeds,,unknown,high,low,low,28,70,7.1,157,Urea
oilseeds,,unknown,medium,medium,high,33,88,6.8,196,DAP
oilseeds,,unknown,low,low,medium,28,79,7.2,189,MOP
oilseeds,,unknown,medium,medium,high,23,88,7.1,228,DAP
oilseeds,,unknown,high,low,low,24,79,6.5,194,Urea
oilseeds,groundnut,sandy loam,medium,medium,medium,23,82,6.2,200,NPK
oilseeds,groundnut,sandy loam,high,high,low,30,78,6.2,236,Ammonium Sulfate
oilseeds,groundnut,sandy loam,high,high,medium,32,58,7.4,155,DAP
oilseeds,groundnut,sandy loam,low,low,low,29,76,7.2,130,Urea
oilseeds,groundnut,sandy loam,low,low,low,21,84,7.2,152,Ammonium Sulfate
oilseeds,groundnut,sandy loam,medium,medium,high,23,71,5.8,231,DAP
oilseeds,groundnut,sandy loam,medium,low,medium,27,78,7.5,147,Ammonium Sulfate
oilseeds,groundnut,sandy loam,medium,high,high,29,88,6.4,231,Urea
oilseeds,mustard,loamy soil,medium,low,low,33,80,6.1,102,NPK
oilseeds,mustard,loamy soil,high,medium,low,31,81,7.2,149,Ammonium Sulfate
oilseeds,mustard,loamy soil,high,high,high,21,67,6.0,86,DAP
oilseeds,mustard,loamy soil,low,medium,low,31,88,6.2,81,NPK
oilseeds,mustard,loamy soil,high,low,low,22,61,6.2,124,Compost
oilseeds,mustard,loamy soil,low,high,low,32,71,6.5,92,DAP
oilseeds,mustard,loamy soil,medium,medium,medium,35,84,6.2,123,Ammonium Sulfate
oilseeds,mustard,loamy soil,low,high,high,26,80,7.3,202,DAP
oilseeds,sunflower,sandy loam,low,low,low,25,90,6.4,134,MOP
oilseeds,sunflower,sandy loam,low,high,medium,28,77,6.4,250,NPK
oilseeds,sunflower,sandy loam,low,high,high,33,56,7.0,250,NPK
oilseeds,sunflower,sandy loam,low,high,high,32,68,6.9,249,DAP
oilseeds,sunflower,sandy loam,medium,high,high,27,71,6.1,218,DAP
oilseeds,sunflower,sandy loam,low,high,high,32,78,6.5,238,MOP
oilseeds,sunflower,sandy loam,low,medium,low,28,63,6.7,189,DAP
oilseeds,sunflower,sandy loam,high,low,low,22,82,7.5,133,MOP
oilseeds,sesame,sandy loam,high,medium,high,29,74,7.2,159,MOP
oilseeds,sesame,sandy loam,low,medium,high,28,71,6.4,107,MOP
oilseeds,sesame,sandy loam,high,medium,medium,30,81,7.3,173,Compost
oilseeds,sesame,sandy loam,high,medium,high,24,75,6.2,232,Ammonium Sulfate
oilseeds,sesame,sandy loam,high,high,medium,30,69,6.1,249,Ammonium Sulfate
oilseeds,sesame,sandy loam,high,high,high,22,83,6.0,198,Urea
oilseeds,sesame,sandy loam,medium,medium,low,35,77,6.1,218,NPK
oilseeds,sesame,sandy loam,low,low,low,32,59,6.0,110,Urea
oilseeds,castor,sandy loam,low,high,medium,20,50,7.3,92,Compost
oilseeds,castor,sandy loam,high,medium,medium,24,88,7.3,204,DAP
oilseeds,castor,sandy loam,high,high,low,35,83,7.4,159,Compost
oilseeds,castor,sandy loam,medium,medium,medium,28,79,6.2,186,Compost
oilseeds,castor,sandy loam,medium,high,high,21,86,5.9,212,MOP
oilseeds,castor,sandy loam,medium,low,medium,25,50,6.2,177,Compost
oilseeds,castor,sandy loam,medium,high,low,33,58,6.2,129,Ammonium Sulfate
oilseeds,castor,sandy loam,low,high,high,29,59,6.6,213,DAP
cash,,unknown,high,high,medium,31,56,5.5,92,NPK
cash,,unknown,medium,medium,high,20,68,6.1,203,Urea
cash,,unknown,high,medium,high,25,72,6.4,158,NPK
cash,,unknown,low,low,low,31,63,6.3,214,Compost
cash,,unknown,low,high,low,21,76,6.4,160,MOP
cash,,unknown,low,high,high,33,73,5.6,127,Urea
cash,,unknown,high,low,medium,35,70,6.2,247,NPK
cash,,unknown,high,medium,low,34,86,7.4,95,NPK
cash,cotton,black soil,medium,high,medium,30,73,6.3,232,DAP
cash,cotton,black soil,medium,medium,low,30,51,6.0,206,NPK
cash,cotton,black soil,high,low,high,35,87,6.4,156,Ammonium Sulfate
cash,cotton,black soil,low,high,high,26,74,7.3,229,Urea
cash,cotton,black soil,low,high,low,34,83,7.1,141,Compost
cash,cotton,black soil,medium,medium,low,30,54,6.4,169,Compost
cash,cotton,black soil,high,medium,high,27,68,5.6,161,Ammonium Sulfate
cash,cotton,black soil,low,high,low,23,79,6.7,211,Ammonium Sulfate
cash,coffee,laterite soil,low,high,high,22,87,5.9,228,Compost
cash,coffee,laterite soil,medium,low,high,34,71,7.0,227,MOP
cash,coffee,laterite soil,high,high,low,30,70,7.2,243,NPK
cash,coffee,laterite soil,high,low,medium,35,68,7.5,203,Ammonium Sulfate
cash,coffee,laterite soil,high,medium,medium,28,87,6.6,95,Compost
cash,coffee,laterite soil,medium,high,medium,31,73,6.2,192,Compost
cash,coffee,laterite soil,high,medium,low,24,86,5.7,181,MOP
cash,coffee,laterite soil,low,low,high,31,62,6.1,213,MOP
cash,sugarcane,alluvial soil,medium,high,low,33,54,6.8,187,MOP
cash,sugarcane,alluvial soil,high,low,low,30,70,6.2,98,Ammonium Sulfate
cash,sugarcane,alluvial soil,medium,high,high,21,80,7.1,102,Ammonium Sulfate
cash,sugarcane,alluvial soil,high,high,low,34,61,5.6,244,Compost
cash,sugarcane,alluvial soil,high,high,low,34,85,5.9,221,MOP
cash,sugarcane,alluvial soil,medium,low,medium,35,67,6.0,96,Urea
cash,sugarcane,alluvial soil,medium,low,high,22,78,6.3,154,DAP
cash,sugarcane,alluvial soil,low,high,medium,31,69,6.1,150,Urea
cash,tea,laterite soil,high,medium,low,24,88,6.3,215,Compost
cash,tea,laterite soil,high,medium,medium,24,78,6.2,133,MOP
cash,tea,laterite soil,high,low,medium,35,74,6.3,224,Urea
cash,tea,laterite soil,high,low,medium,22,59,5.7,178,Ammonium Sulfate
cash,tea,laterite soil,medium,low,low,30,58,5.7,87,Ammonium Sulfate
cash,tea,laterite soil,low,low,high,20,70,5.9,221,DAP
cash,tea,laterite soil,low,low,low,25,50,5.9,128,NPK
cash,tea,laterite soil,medium,high,high,22,75,6.9,132,NPK
cash,rubber,laterite soil,medium,low,low,32,66,6.2,203,Compost
cash,rubber,laterite soil,high,low,high,21,61,6.2,121,Urea
cash,rubber,laterite soil,medium,medium,high,20,54,7.0,233,NPK
cash,rubber,laterite soil,high,medium,medium,27,65,6.0,99,Ammonium Sulfate
cash,rubber,laterite soil,low,high,high,35,52,6.5,178,NPK
cash,rubber,laterite soil,low,medium,high,24,82,5.6,155,Compost
cash,rubber,laterite soil,high,low,medium,30,83,7.0,88,Compost
cash,rubber,laterite soil,low,low,high,25,73,5.9,102,NPK
cash,turmeric,loamy soil,high,medium,high,31,66,6.3,148,DAP
cash,turmeric,loamy soil,medium,low,low,25,89,6.3,176,Compost
cash,turmeric,loamy soil,high,high,high,29,89,5.7,108,MOP
cash,turmeric,loamy soil,low,high,medium,26,70,5.5,114,Ammonium Sulfate
cash,turmeric,loamy soil,low,high,high,23,74,7.4,113,Urea
cash,turmeric,loamy soil,medium,high,medium,29,83,6.2,131,Compost
cash,turmeric,loamy soil,medium,medium,low,35,90,6.8,172,Ammonium Sulfate
cash,turmeric,loamy soil,high,high,medium,25,53,5.9,220,DAP
cash,jute,alluvial soil,low,medium,high,33,67,7.1,233,DAP
cash,jute,alluvial soil,low,medium,medium,23,89,5.7,213,NPK
cash,jute,alluvial soil,medium,high,high,28,65,6.0,141,Compost
cash,jute,alluvial soil,medium,high,medium,30,70,7.1,170,MOP
cash,jute,alluvial soil,medium,medium,low,24,73,5.9,81,Ammonium Sulfate
cash,jute,alluvial soil,high,low,low,32,54,6.6,200,Ammonium Sulfate
cash,jute,alluvial soil,low,medium,medium,25,61,7.5,82,Compost
cash,jute,alluvial soil,high,high,low,25,90,5.7,134,DAP
cash,cashew,laterite soil,high,low,high,29,54,6.0,168,Urea
cash,cashew,laterite soil,medium,high,high,32,52,7.2,131,Compost
cash,cashew,laterite soil,low,high,low,20,84,5.5,210,MOP
cash,cashew,laterite soil,low,medium,high,25,61,5.7,242,MOP
cash,cashew,laterite soil,medium,medium,low,32,83,6.7,109,NPK
cash,cashew,laterite soil,high,high,low,24,55,7.1,179,MOP
cash,cashew,laterite soil,low,medium,medium,22,83,6.1,205,Ammonium Sulfate
cash,cashew,laterite soil,medium,high,medium,29,81,6.8,174,MOP
